"Column_Variable","Column_Variable_Label","Column_Variable_Value","Column_Variable_Value_Label","Row_Variable","Row_Variable_Label","Row_Variable_Value","Row_Variable_Value_Label","Subtable_Variable","Subtable_Variable_Label","Subtable_Variable_Value","Subtable_Variable_Value_Label","Statistic","Estimate","Standard_Error","Relative_Standard_Error","Weighted_Sample_Size","Confidence_Intrval_95pct_Lwr_Bnd","Confidence_Intrval_95pct_Upr_Bnd"
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","51.186405","1.2036214","2.3514475","565718","48.83","53.55"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","13.683254","0.7845420","5.7335922","151229","12.15","15.22"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","12.193142","0.8158146","6.6907657","134760","10.59","13.79"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","22.937199","1.0150529","4.4253568","253505","20.95","24.93"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","100.000000","","","1105212","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","55.593712","6.9684164","12.5345407","14714","41.94","69.25"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","15.917080 !","4.9222715","30.9244639","4213","6.27","25.56"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","6.436906 !","2.3059442","35.8237972","1704","1.92","10.96"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","22.052303","4.9803465","22.5842472","5837","12.29","31.81"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","100.000000","","","26468","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","53.572133","1.2945992","2.4165533","458304","51.03","56.11"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","15.028127","0.9073560","6.0377185","128564","13.25","16.81"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","12.539375","0.9844809","7.8511161","107273","10.61","14.47"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","18.860365","0.9968652","5.2855032","161348","16.91","20.81"
"FOODSEC","Food security status: previous 30 days","Total","Total","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","855489","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","55.844656","2.2379289","4.0074183","181198","51.46","60.23"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","14.581223","1.5998305","10.9718543","47311","11.45","17.72"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","13.133692","1.6085794","12.2477315","42615","9.98","16.29"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","16.440429","1.9074798","11.6023724","53344","12.70","20.18"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","100.000000","","","324468","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","52.305521","1.5668880","2.9956455","271923","49.23","55.38"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","15.481057","1.2292919","7.9406194","80482","13.07","17.89"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","12.132036","1.1252346","9.2749040","63071","9.93","14.34"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","20.081386","1.1784332","5.8682860","104398","17.77","22.39"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","100.000000","","","519874","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","46.494704","13.4975707","29.0303404","5182","20.04","72.95"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","6.911695 !!","3.7613697","54.4203626","770","-0.46","14.28"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","14.237708 !!","9.8912176","69.4719773","1587","-5.15","33.62"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","32.355893 !","11.0973322","34.2977161","3606","10.61","54.11"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","2","$5,000 - $9,999","Percentage","100.000000","","","11145","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","53.787274","1.3994829","2.6018848","583274","51.04","56.53"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","15.881848","0.9093034","5.7254256","172224","14.10","17.66"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","11.956399","1.0044213","8.4007012","129656","9.99","13.93"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","18.374480","0.9322554","5.0736426","199255","16.55","20.20"
"FOODSEC","Food security status: previous 30 days","Total","Total","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","1084409","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","57.599156","1.9735099","3.4262827","221840","53.73","61.47"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","12.704664","1.4217136","11.1904851","48931","9.92","15.49"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","11.880630","1.2714469","10.7018478","45758","9.39","14.37"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","17.815550","1.6749060","9.4013711","68616","14.53","21.10"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","100.000000","","","385145","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","52.135420","1.5422136","2.9580919","355664","49.11","55.16"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","17.707543","1.1137433","6.2896546","120799","15.52","19.89"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","11.458163","1.0236705","8.9339843","78167","9.45","13.46"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","18.698874","0.9548875","5.1066580","127562","16.83","20.57"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","100.000000","","","682192","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","33.799149 !","12.8468679","38.0094417","5770","8.62","58.98"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","14.604906 !","6.9150744","47.3476143","2493","1.05","28.16"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","33.574721 !!","20.6423526","61.4818295","5732","-6.88","74.03"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","18.021224 !","7.4449964","41.3123782","3077","3.43","32.61"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","3","$10,000 - $14,999","Percentage","100.000000","","","17072","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","54.821418","1.2027214","2.1938897","586809","52.46","57.18"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","14.335173","0.8390259","5.8529180","153444","12.69","15.98"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","12.355384","0.7278316","5.8908052","132252","10.93","13.78"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","18.488026","0.9593962","5.1892843","197896","16.61","20.37"
"FOODSEC","Food security status: previous 30 days","Total","Total","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","1070401","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","61.225104","1.9941816","3.2571306","227091","57.32","65.13"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","13.014315","1.5768984","12.1166460","48272","9.92","16.11"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","10.088905","1.1901137","11.7962623","37421","7.76","12.42"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","15.671676","1.5797252","10.0801291","58128","12.58","18.77"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","100.000000","","","370912","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","51.778333","1.3602263","2.6270184","355747","49.11","54.44"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","14.957992","1.0354385","6.9223092","102770","12.93","16.99"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","13.514349","0.9432462","6.9795898","92851","11.67","15.36"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","19.749325","1.2232215","6.1937380","135689","17.35","22.15"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","100.000000","","","687057","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","31.939345","7.6773261","24.0372055","3970","16.89","46.99"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","19.323741 !!","10.3545375","53.5845397","2402","-0.97","39.62"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","15.926290 !","7.0267486","44.1204357","1980","2.15","29.70"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","32.810624","8.7974012","26.8126604","4078","15.57","50.05"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","4","$15,000 - $19,999","Percentage","100.000000","","","12430","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","56.696293","1.2417784","2.1902285","602729","54.26","59.13"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","12.893801","0.7658717","5.9398442","137072","11.39","14.39"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","11.998017","0.7287928","6.0742769","127549","10.57","13.43"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","18.411889","0.8586971","4.6638186","195734","16.73","20.09"
"FOODSEC","Food security status: previous 30 days","Total","Total","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","1063084","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","61.923683","1.9493912","3.1480544","236568","58.10","65.74"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","11.789716","1.1170348","9.4746547","45040","9.60","13.98"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","10.812101","1.4195257","13.1290453","41306","8.03","13.59"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","15.474500","1.3410196","8.6659964","59117","12.85","18.10"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","100.000000","","","382031","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","54.089927","1.4168187","2.6193763","361990","51.31","56.87"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","13.257573","1.0303478","7.7717679","88725","11.24","15.28"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","12.542487","0.9565071","7.6261360","83939","10.67","14.42"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","20.110013","1.0763256","5.3521876","134584","18.00","22.22"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","100.000000","","","669238","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","35.304864 !","10.7265824","30.3827329","4171","14.28","56.33"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","27.988118 !","11.0689641","39.5487975","3307","6.29","49.68"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","19.503250 !!","13.6513829","69.9954246","2304","-7.25","46.26"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","17.203768 !","6.6735108","38.7909827","2033","4.12","30.28"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","5","$20,000 - $24,999","Percentage","100.000000","","","11815","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","59.454791","1.2187083","2.0498067","534765","57.07","61.84"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","13.362635","0.7909224","5.9189101","120190","11.81","14.91"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","10.816460","0.7785180","7.1975309","97289","9.29","12.34"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","16.366115","0.8223167","5.0245078","147205","14.75","17.98"
"FOODSEC","Food security status: previous 30 days","Total","Total","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","899449","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","65.563009","1.9779177","3.0168196","217293","61.69","69.44"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","11.057008","1.3188883","11.9280759","36646","8.47","13.64"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","9.862267","1.3352041","13.5385099","32686","7.25","12.48"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","13.517716","1.3903964","10.2857345","44801","10.79","16.24"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","6","$25,000 - $29,999","Percentage","100.000000","","","331426","",""
